uid,text,Extracted problems
US20200059181A1,One drawback of permanent magnet generators is the torque ripple which is a consequence of the variance of the magnetic field between the poles of the generators. This ripple may result in vibration and noise.,vibration and noise
WO2019201595A1,In such de sign the double layer winding layout makes it difficult to insert coils with narrow coil width for side by side coil formation.,difficult to insert coils with narrow coil width for side by side coil formation.
DE102009032881A1,"By the increasing size of wind power generators, the higher benefits of these facilities inevitably bring with them, their assembly is increasingly difficult. Gearless Turbines of wind power or tidal power plants, however also big challenges in terms of transport and Logistics.",their assembly is increasingly difficult;  transport and Logistics
EP3273578B1,"Therefore, much effort is invested in the development of efficient cooling systems for wind turbine generators. In the case of a direct-drive wind turbine, which generally comprises an outer rotor that rotates about an inner stator, efficient cooling is made difficult by the compact design at the drive end",efficient cooling is made difficult by the compact design at the drive end
EP3531540A1,"The object of the present invention is to improve or optimize the cooling of an electrical generator, by providing a cooling apparatus and method.",the cooling of an electrical generator
CN102684348B,"Can by with high-frequency come one or more controls of power switch transistor Circuit processed controls to include the conducting state of the multiple power transistor in the converter.It is thus possible to there is the risk of converter failure.In the case of such failure, it is necessary to immediately turn off whole Generator, until faulty converter is repaired or replaced.Meanwhile, wind turbine can not produce electric energy, so as to reduce The efficiency of wind turbine.",risk of converter failure
CN103671487B,Wind turbine（Especially directly drive wind turbine）In base bearing with 2 meters or bigger diameter and It is very heavy.This to be very difficult to replace the base bearing,It is very heavy. This to be very difficult to replace the base bearing
US8629596B2,"In a conventional design of the stator slots of a dynamoelectric machine, the slot flanks of the slots in which feed and return conductors are laid are skewed with respect to one another by an angle which depends on the number of slots in the stator. This makes laying the form-wound coils in the slots more difficult, as in this process the form-wound coils have to be spread apart a little further. In contrast, the laying of the form-wound coils is made considerably easier by the parallel arrangement of the slot flanks",makes laying the form - wound coils in the slots more difficult
CN103452758B,"In the case where aerodynamic brakes fail, mechanical brake can be used as backup brake.Work as wind turbine The component failure of the machine and mechanical brake can be used as accident brake when must stop wind turbine immediately",aerodynamic brakes fail
EP2896824B1,One of the challenges with the direct drive generator is the mechanical brake system. The brake system needs to be located at the slowing rotating axis as no gear box is used. The brake system needs to withstand a large braking moment and large brake discs and callipers are necessary.,mechanical brake system
CN105305452B,"Because power plant operator does not know about actual short intensity availability usually, being difficult to be aware of is currently It is no to there is reduction grid condition, needless to say predict when reduction grid condition occurs in the future.",being difficult to be aware of is currently It is no to there is reduction grid condition
CN104949625B,"However, due to the depth of the generator, visual inspection of the air gap is extremely difficult and error-prone.",visual inspection of the air gap
EP3614556A1,"Conventionally, torque ripple control may be a big challenge for a high power permanent magnet synchronous machine. The torque of the machine cannot be measured or estimated precisely, which applies in particular to harmonics of the torque. Therefore, conventionally, the torque ripple itself, e.g. higher order harmonics of the torque, cannot be used as a feedback in a controller.",Torque ripple
CN109979705A,"Magnetic flux can also be increased by reducing the air gap between the magnet and the coil, however, this is extremely challenging due to mechanical constraints and manufacturing tolerances.",Increasing the Magnetic flux
DE102012206867A1,"Installation of the entire wind turbine poses a particular challenge: first the tower is made available and then the entire electric generator has to be mounted on the tower. The difficulty here is the greater the larger the entire generator. However, the installation of the entire electric wind power generator on the ground is particularly expensive: Because the wind power generators are large, the stators are constructed correspondingly large",greater the larger the entire generator
EP3270491A1,"These nested and folded winding regions are usually difficult to cool, since an airflow will tend to simply pass over a winding overhang. Therefore, in a further preferred embodiment of the invention, the cooling arrangement comprises one or more airflow guides to guide a cooling airflow over a winding overhang",difficult to cool
DE102010038922A1,"For electrical machines, such. As permanent magnet-excited generators or motors, in particular when the machines have a larger electrical power (greater than 1 MW), the attachment of the permanent magnets on the rotor body is a major manufacturing challenge.",the attachment of the permanent magnets on the rotor body is a major manufacturing challenge
